type	id	pedigree	trait1	trait2	trait3
training	L0114	f114_X_m1	-1.8129572763865	-0.17221347351045	-1.28675471637454
training	L0115	f115_X_m1	-2.4815017923679	-1.45514362998206	-1.56670672797216
training	L0116	f116_X_m1	-1.94666617958278	-0.837288626116298	-2.13792917947661
training	L0117	f117_X_m1	-3.41746411474185	-1.97486679172131	-2.33034246073331
training	L0118	f118_X_m1	-3.01633740515303	-0.991694856374836	-2.37318056281506
training	L0119	f119_X_m1	-1.74610282478836	-0.435556328046113	-2.16722814896062
training	L0120	f120_X_m1	-2.4815017923679	-0.874749838735608	-2.11514905161375
training	L0121	f121_X_m1	-1.67924837319023	-0.953579443218339	-1.66585042911112
training	L0122	f122_X_m1	-2.21408398597536	-0.23227412425612	-1.65152330466905
training	L0123	f123_X_m1	-1.94666617958278	-0.565243723694036	-2.16264346913917
training	L0124	f124_X_m1	-2.41464734076976	-1.31740838698477	-2.2098513441757
training	L0125	f125_X_m1	-2.61521069556417	-1.50628620717031	-2.05311260277971
training	L0126	f126_X_m1	-1.67924837319023	-0.30734993833795	-1.8490227151027
training	L0127	f127_X_m1	-2.21408398597536	-0.957910740167936	-1.2293029473619
training	L0128	f128_X_m1	-1.94666617958278	-0.571559052263589	-0.855938084402143
training	L0129	f129_X_m1	-2.14722953437718	-0.842265111613603	-0.956442862363088
training	L0130	f130_X_m1	-2.88262850195675	-0.477136778762278	-1.16382798866174
training	L0131	f131_X_m1	-1.34497611519951	-0.393109617940067	-1.25229798209142
training	L0132	f132_X_m1	-3.1500463083493	-1.33386731539323	-1.26247024044525
training	L0133	f133_X_m1	-2.28093843757349	-0.427326863841883	-1.70367403763814
training	L0134	f134_X_m1	-1.8129572763865	-0.510920894969177	-1.40395059431046
training	L0135	f135_X_m1	-1.67924837319023	-0.510920894969177	-1.53110382373366
training	L0136	f136_X_m1	-1.61239392159209	-1.29142060528718	-1.33532366823306
training	L0137	f137_X_m1	-2.74891959876045	-1.8298008161225	-2.87964441184145
training	L0138	f138_X_m1	-2.21408398597536	-0.636165935609563	-2.1488177940526
training	L0139	f139_X_m1	-2.74891959876045	-1.18573695971694	-1.43905204919352
training	L0140	f140_X_m1	-2.68206514716231	-1.1536853622899	-2.19652711844457
training	L0141	f141_X_m1	-1.94666617958278	0.115384643943035	-1.57136304341583
training	L0142	f142_X_m1	-1.8129572763865	-0.760015171342651	-2.06185214868934
training	L0143	f143_X_m1	-2.28093843757349	-0.640859803457196	-1.74020820496535
training	L0144	f144_X_m1	-2.34779288917163	-0.281362156640365	-1.3591066948069
training	L0145	f145_X_m1	-3.75173637273256	-0.969172112236919	-2.17890475538088
training	L0146	f146_X_m1	-2.28093843757349	-0.580221646162784	-1.15071866979727
training	L0147	f147_X_m1	-2.94948295355489	-1.68513549800583	-2.37045840917104
training	L0148	f148_X_m1	-2.41464734076976	-0.366255576852503	-1.62480321758468
training	L0149	f149_X_m1	-2.01352063118091	-0.965707074677203	-1.56140569192861
training	L0150	f150_X_m1	-2.34779288917163	-1.53137445629505	-2.78064398194688
training	L0151	f151_X_m1	-2.88262850195675	-0.638780780921387	-1.71749971272471
training	L0152	f152_X_m1	-2.41464734076976	-0.403793483460308	-1.25688266191287
training	L0153	f153_X_m1	-1.54553946999396	0.14137242564062	-1.78834734309065
training	L0154	f154_X_m1	-2.54835624396604	-0.962242037117535	-2.68278972200769
training	L0155	f155_X_m1	-3.01633740515303	-0.497927004120383	-1.97066000161569
training	L0156	f156_X_m1	-2.34779288917163	-0.891641896839032	-2.24753168145828
training	L0157	f157_X_m1	-2.68206514716231	-0.904202657992909	-2.39696358938885
training	L0158	f158_X_m1	-2.14722953437718	-0.57069279287366	-1.24893110784751
training	L0159	f159_X_m1	-1.94666617958278	-0.432957549876373	-1.51928394606896
training	L0160	f160_X_m1	-2.21408398597532	-0.606209427860369	-1.11368305311457
training	L0161	f161_X_m1	-2.4815017923679	-0.468185432021897	-1.59786822363359
training	L0162	f162_X_m1	-2.14722953437718	-0.991694856374836	-2.19401987166721
training	L0163	f163_X_m1	-2.68206514716231	-0.666847585154781	-2.18119709529158
training	L0164	f164_X_m1	-1.54553946999396	-0.930190439690494	-1.0914043746072
training	L0165	f165_X_m1	-2.01352063118091	-0.375732475672186	-1.10981472951522
training	L0166	f166_X_m1	-2.14722953437718	0.0651415993276752	-0.765247386683981
training	L0167	f167_X_m1	-3.01633740515303	-1.43418836989805	-2.13492048334381
training	L0168	f168_X_m1	-2.21408398597536	-0.871284801175938	-0.658080495857448
training	L0169	f169_X_m1	-2.88262850195672	-0.72633073021808	-2.03821239335994
training	L0170	f170_X_m1	-2.28093843757349	-0.682440254173362	-1.49972742120557
training	L0171	f171_X_m1	-1.87981172798464	-0.743944670857655	-1.42028351617445
training	L0172	f172_X_m1	-2.41464734076976	-0.907152297555481	-2.06686664224406
training	L0173	f173_X_m1	-1.74610282478836	-0.551635086295412	-0.859806408001491
training	L0174	f174_X_m1	-1.27812166360137	-0.738602737664402	-0.558721887851878
training	L0175	f175_X_m1	-2.01352063118091	-0.402638471229191	-1.34320358667619
training	L0176	f176_X_m1	-2.34779288917163	-1.46120744571151	-2.55183980460741
training	L0177	f177_X_m1	-2.54835624396604	-0.58715172128217	-1.89615895451706
training	L0178	f178_X_m1	-1.41183056679765	0.137041128691022	-0.611230798931964
training	L0179	f179_X_m1	-3.01633740515303	-0.460680348899386	-1.81341981086421
training	L0180	f180_X_m1	-2.41464734076976	-0.282580913753259	-1.21497582291989
training	L0181	f181_X_m1	-1.67924837319023	-0.243246743483867	-0.446325596603961
training	L0182	f182_X_m1	-2.28093843757349	-1.48257517761826	-1.80890676666498
training	L0183	f183_X_m1	-1.8129572763865	-0.283960934810105	-0.61481258004248
training	L0184	f184_X_m1	-2.34779288917163	-0.634795987727743	-0.258353723924318
training	L0185	f185_X_m1	-2.81577405035858	-0.830426232995926	-1.88197510131944
training	L0186	f186_X_m1	-3.1500463083493	-1.53137445629505	-2.21586873644136
training	L0187	f187_X_m1	-2.21408398597536	-0.876369289927275	-1.31913401761357
training	L0188	f188_X_m1	-2.74891959876045	-0.927264566606188	-1.61412950987535
training	L0189	f189_X_m1	-2.68206514716231	-0.844430760088423	-2.08484718341881
training	L0190	f190_X_m1	-2.41464734076976	-0.320343829186741	-0.011354098543389
training	L0191	f191_X_m1	-2.41464734076976	-0.91633028945177	-2.04379997189237
training	L0192	f1_X_m2	0.794366335940959	-0.18953866130884	1.45402418938927
training	L0193	f2_X_m2	0.526948529548416	-1.16321421557897	0.171173466848311
training	L0194	f3_X_m2	-0.00788708323671059	0.470550993810272	0.876784345619163
training	L0195	f192_X_m2	0.125821819959563	0.302496672165754	1.20537694469752
training	L0196	f4_X_m2	0.0589673683614264	0.323286897523861	0.488949086972905
training	L0197	f5_X_m2	-0.208450438031121	-0.0942501284176458	0.235573891215318
training	L0198	f6_X_m2	-0.4758682444237	0.748187128279668	2.23470920023651
training	L0199	f7_X_m2	0.259530723155832	0.763346667603236	1.41147262979641
training	L0200	f8_X_m2	-0.409013792825563	0.221068289513283	1.21597901678468
training	L0201	f9_X_m2	-0.0747415348348475	0.925048420677061	1.8059700013082
training	L0202	f10_X_m2	-0.141595986432984	0.467085956250602	1.16311192759349
training	L0203	f11_X_m2	-0.4758682444237	0.872495350733198	1.7338329297425
training	L0204	f12_X_m2	-0.00788708323671059	-0.476703649067361	-1.31841766139146
training	L0205	f13_X_m2	0.326385174753969	0.82860487468848	2.02453028467167
training	L0206	f14_X_m2	-0.00788708323671059	0.312891784844807	1.39936620964287
training	L0207	f15_X_m2	0.326385174753969	-0.316012532237144	0.282710130629632
training	L0208	f16_X_m2	0.326385174753969	0.395619556582172	1.52795215151028
training	L0209	f17_X_m2	-0.141595986432984	1.00589929678089	3.27084683988542
training	L0210	f18_X_m2	0.192676271557695	-0.461544109743744	0.962532185404824
training	L0211	f19_X_m2	-0.275304889629258	0.359669791900497	1.7620573648933
training	L0212	f20_X_m2	0.125821819959563	1.25105070412823	1.28962043641676
training	L0213	f21_X_m2	-0.0747415348348475	0.784136892961341	0.114581325302215
training	L0214	f22_X_m2	0.393239626352106	1.0284220409188	1.68153892552902
training	L0215	f23_X_m2	-0.275304889629258	-0.0699948654998714	1.14627755637407
training	L0216	f24_X_m2	-0.876994954012519	0.650732946913651	1.51765576946674
training	L0217	f25_X_m2	-0.0747415348348475	-0.0405420462425703	0.0513270708905821
training	L0218	f26_X_m2	0.192676271557695	0.560641970361937	1.64521966506843
training	L0219	f27_X_m2	-0.409013792825563	1.15273026337234	1.18410116490109
training	L0220	f28_X_m2	-0.208450438031121	0.681918284950762	1.39872148904299
training	L0221	f29_X_m2	-0.141595986432984	0.468818475030412	2.58207033233394
training	L0222	f30_X_m2	-0.342159341227432	0.241858514871341	0.539595471875564
training	L0223	f31_X_m2	0.460094077950279	0.63687279667493	2.72068526131079
training	L0224	f32_X_m2	-0.0747415348348475	-0.225344049136783	0.215444281374212
training	L0225	f33_X_m2	-0.342159341227432	-0.18044293771468	1.16769660741494
training	L0226	f34_X_m2	0.259530723155832	0.668058134712042	0.374188820192118
training	L0227	f35_X_m2	0.326385174753969	1.14969835550758	1.10888376158037
training	L0228	f36_X_m2	0.259530723155832	0.463620918690885	1.1426957752636
training	L0229	f37_X_m2	-0.676431599218111	0.079001749566396	0.569467526337232
training	L0230	f193_X_m2	-0.00788708323671059	0.844775050255754	1.87409547803012
training	L0231	f38_X_m2	0.125821819959563	0.669790653491901	1.78970871506649
training	L0232	f39_X_m2	0.0589673683614264	-0.271833303351241	0.482501880973977
training	L0233	f40_X_m2	0.192676271557695	0.610885014977296	1.57558984028008
training	L0234	f41_X_m2	0.460094077950279	0.352510869302538	2.11278537123464
training	L0235	f42_X_m2	0.192676271557695	0.713103622987874	1.5093268897356
training	L0236	f43_X_m2	-0.743286050816248	0.0374212988502335	0.33299833742124
training	L0237	f44_X_m2	0.727511884342827	-0.297821085048826	1.14957279499575
training	L0238	f45_X_m2	-0.0747415348348475	-0.328140163696057	0.124037227433945
training	L0239	f46_X_m2	-0.0747415348348475	-0.454614034624361	0.802569841009372
training	L0240	f48_X_m2	0.393239626352106	0.402982761396521	0.978148751046652
training	L0241	f50_X_m2	0.0589673683614264	0.30596170972547	0.258568925944789
training	L0242	f51_X_m2	0.460094077950279	0.460155881131218	-0.104050593683471
training	L0243	f52_X_m2	-0.00788708323671059	0.078135490176469	1.51434138329032
training	L0244	f53_X_m2	-0.00788708323671059	0.62128012765635	1.6029546479644
training	L0245	f54_X_m2	-0.542722696021837	-0.466799459393334	-0.443889985448821
training	L0246	f55_X_m2	-0.208450438031121	0.780671855401673	1.2331715661151
training	L0247	f56_X_m2	0.460094077950279	0.591741016957901	1.51319521333495
training	L0248	f57_X_m2	-0.00788708323671059	-0.347197870274305	-0.339087070155258
training	L0249	f58_X_m2	-0.0747415348348475	0.527868490398744	2.5006206298809
training	L0250	f59_X_m2	-0.141595986432984	0.0772692307865393	1.70797247012457
training	L0251	f60_X_m2	-0.141595986432984	0.655930503253177	1.56162089394907
training	L0252	f61_X_m2	0.460094077950279	0.862100238054144	0.287438081695524
training	L0253	f62_X_m2	0.66065743274469	0.657663022032988	1.50574510862508
training	L0254	f63_X_m2	0.460094077950279	0.957996021775482	1.13897072290865
training	L0255	f64_X_m2	-0.342159341227432	-0.728352001839124	0.445824442402378
training	L0256	f65_X_m2	-0.00788708323671059	0.54304815504577	2.21500940412867
training	L0257	f194_X_m2	-0.876994954012519	0.273043852908499	0.463446805466075
training	L0258	f66_X_m2	-0.141595986432984	0.634707148200107	1.20602166529746
training	L0259	f67_X_m2	-0.342159341227432	0.0478164115292843	1.38267510966789
training	L0260	f68_X_m2	0.259530723155832	0.551546246767779	1.46663205889829
training	L0261	f195_X_m2	-0.409013792825563	-0.347197870274305	0.762024078838377
training	L0262	f69_X_m2	-0.00788708323671059	0.458423362351359	0.65872551161119
training	L0263	f70_X_m2	-0.00788708323671059	0.293834078266557	1.17450199152492
training	L0264	f196_X_m2	-0.0747415348348475	-0.118505391335374	-0.433717727094987
training	L0265	f71_X_m2	0.192676271557695	0.107155179738804	1.37715916675768
training	L0266	f197_X_m2	0.928075239137233	0.243591033651198	1.56498776819293
training	L0267	f72_X_m2	0.192676271557695	0.746287926505198	1.6505923367342
training	L0268	f73_X_m2	0.326385174753969	0.00796847959293235	1.18682331854511
training	L0269	f74_X_m2	0.326385174753969	1.10465286723175	0.367096893593308
training	L0270	f75_X_m2	-0.0747415348348475	0.0680291303386493	0.885670599175275
training	L0271	f76_X_m2	0.259530723155832	-0.0301469335635168	1.00701790679739
training	L0272	f77_X_m2	0.0589673683614264	0.099791974924457	0.380349483702215
training	L0273	f78_X_m2	-0.876994954012519	0.610451885282381	1.02292101492804
training	L0274	f79_X_m2	-0.208450438031121	0.0720716744470126	1.45029913703436
training	L0275	f80_X_m2	-0.810140502414385	0.517329000865961	0.34689564813003
training	L0276	f81_X_m2	0.0589673683614264	1.20357741228897	2.3584955554158
training	L0277	f82_X_m2	-0.409013792825563	-0.0509371589216238	0.867400079109602
training	L0278	f83_X_m2	-0.208450438031121	0.494806256728046	0.774488677102959
training	L0279	f84_X_m2	0.460094077950279	1.05749882655248	0.3469672837522
training	L0280	f86_X_m2	-0.208450438031121	0.603954939857961	1.73598199840881
training	L0281	f88_X_m2	0.928075239137233	1.1445007991681	1.66764161482023
training	L0282	f89_X_m2	-0.743286050816248	-0.98649730003531	-0.537875921788667
training	L0283	f90_X_m2	0.66065743274469	-0.0197518208845121	1.24986266609009
training	L0284	f91_X_m2	-0.409013792825563	-0.325541385526268	0.03728648893735
training	L0285	f92_X_m2	-0.943849405610693	-0.756072302316568	-0.542747144098948
training	L0286	f93_X_m2	-0.676431599218111	0.315923692709511	0.290375142206155
training	L0287	f95_X_m2	-0.342159341227432	-0.63566224711767	-0.923991925501888
training	L0288	f96_X_m2	-0.0747415348348475	-0.532577379717165	0.693110610272088
training	L0289	f97_X_m2	-0.0747415348348475	0.680185766170906	0.926571103055278
training	L0290	f98_X_m2	0.125821819959563	0.428970543094106	0.65213503436787
training	L0291	f99_X_m2	-0.141595986432984	0.404715280176332	0.759230289572184
training	L0292	f100_X_m2	0.460094077950279	1.12197805503014	0.231633931993752
training	L0293	f101_X_m2	-0.542722696021837	-0.348930389054115	1.19692394127673
training	L0294	f102_X_m2	-0.0747415348348475	-0.400905952449331	0.500983871504216
training	L0295	f103_X_m2	-0.342159341227432	0.0902631216353304	0.478347014885799
training	L0296	f104_X_m2	-0.542722696021837	0.0911293810252602	1.04484151532441
training	L0297	f105_X_m2	-0.676431599218111	-0.700631701361682	0.286516912284275
training	L0298	f106_X_m2	-0.208450438031121	0.595292345958765	0.762865813936893
training	L0299	f107_X_m2	-0.342159341227432	0.295422220192687	0.323972249022731
training	L0300	f108_X_m2	0.125821819959563	-0.0591666231258544	1.77767393053518
training	L0301	f109_X_m2	0.259530723155832	0.352739716781113	1.08574545560646
training	L0302	f110_X_m2	0.0589673683614264	0.493073737948186	1.25000593733453
training	L0303	f111_X_m2	0.192676271557695	0.49134121916833	2.84103310662396
training	L0304	f112_X_m2	-0.609577147619974	-0.115040353775704	0.708297362180693
training	L0305	f113_X_m2	0.526948529548416	0.803194599539588	1.2107496163633
training	L0306	f114_X_m2	0.259530723155832	0.782404374181484	1.04462660845775
training	L0307	f115_X_m2	0.125821819959563	0.0686066368873452	1.11189245771317
training	L0308	f117_X_m2	-0.342159341227432	0.787601930521011	0.218954426862507
training	L0309	f118_X_m2	-0.409013792825563	0.739091404685508	0.716177280623829
training	L0310	f119_X_m2	-0.141595986432984	0.172990893372697	1.07206305176428
training	L0311	f120_X_m2	-0.141595986432984	0.361402310680356	1.76606895973709
training	L0312	f121_X_m2	0.326385174753969	-0.271400173656275	0.411224436874819
training	L0313	f122_X_m2	0.326385174753969	0.904546948160239	1.85740437805513
training	L0314	f123_X_m2	0.125821819959563	0.879858555547499	1.90303626940307
training	L0315	f124_X_m2	-0.342159341227432	-0.475404259982468	0.414304768629842
training	L0316	f125_X_m2	0.125821819959563	-0.0474721213619565	0.101042192704477
training	L0317	f127_X_m2	0.0589673683614264	0.311159266064948	0.873632378241918
training	L0318	f128_X_m2	0.593802981146553	0.928369081383048	1.57673601023541
training	L0319	f129_X_m2	-0.141595986432984	0.321554378744001	1.45782087736644
training	L0320	f130_X_m2	-0.342159341227432	-0.223322777515739	0.576487817313823
training	L0321	f131_X_m2	0.0589673683614264	0.588939777388074	1.3421293474969
training	L0322	f132_X_m2	-0.542722696021837	0.399517723836805	0.00784424820895298
training	L0323	f133_X_m2	-0.00788708323671059	0.322420638133931	1.13030281262119
training	L0324	f134_X_m2	0.66065743274469	0.778361830073121	0.457501048822638
training	L0325	f135_X_m2	-0.409013792825563	-0.529112342157494	-0.111429062771113
training	L0326	f136_X_m2	-0.342159341227432	-0.184341104969314	-0.22404026088559
training	L0327	f137_X_m2	-0.743286050816248	-1.0246127131918	-1.69744173850582
training	L0328	f138_X_m2	-0.409013792825563	0.183386006051751	1.05085890759007
training	L0329	f139_X_m2	-0.208450438031121	0.197246156290472	1.41971072635059
training	L0330	f140_X_m2	-0.542722696021837	-0.151423248152343	0.467816578420914
training	L0331	f141_X_m2	0.0589673683614264	0.270156321897525	0.27518839029755
training	L0332	f142_X_m2	0.393239626352106	0.458423362351407	1.53590370557558
training	L0333	f143_X_m2	-0.0747415348348475	0.654197984473321	0.511585943591373
training	L0334	f198_X_m2	-1.1444127604051	-0.203398811547561	-0.551200147519796
training	L0335	f144_X_m2	-0.409013792825563	0.466219696860674	-0.344889555554302
training	L0336	f145_X_m2	-1.54553946999396	-0.241514224704059	0.559193506391088
training	L0337	f146_X_m2	-0.141595986432984	0.590094789619238	0.819260940984354
training	L0338	f147_X_m2	-0.141595986432984	-0.773397490114959	0.127332466055631
training	L0339	f148_X_m2	-0.208450438031121	0.234062180362074	-0.0233888830747012
training	L0340	f149_X_m2	0.259530723155832	1.35933312786827	0.774202134614077
training	L0341	f150_X_m2	0.192676271557695	-0.607075687250298	-0.389303641324644
training	L0342	f151_X_m2	-0.542722696021837	0.301630412775873	-0.28185020800928
training	L0343	f153_X_m2	-0.0747415348348475	0.515596482086104	0.51086958736927
training	L0344	f154_X_m2	-0.743286050816248	0.621857634205046	0.451125478445931
training	L0345	f155_X_m2	-1.07755830880697	-0.409568546348528	0.518606234567964
training	L0346	f156_X_m2	0.0589673683614264	0.0911293810252602	1.11647713753462
